group,x,residual_m,validation
C001→C003,1.865,0.030518318426616384,true
C003→C001,1.865,-0.025481681573383666,false
C002→C003,2.18,0.0617058679723472,false
C003→C002,2.18,0.04670586797234752,false
C002→C001,1.475,-0.04042875631695573,false
C001→C003,1.865,0.021518318426616487,true
C003→C001,1.865,-0.011481681573383654,false
C002→C003,2.18,0.0617058679723472,false
C003→C002,2.18,0.10370586797234746,false
C002→C001,1.475,0.010571243683044428,false
C003→C001,1.865,0.02651831842661638,true
C002→C003,2.18,0.07970586797234744,false
C003→C002,2.18,0.042705867972347517,false
C001→C002,1.475,-0.0214287563169556,false
C002→C001,1.475,0.0015712436830443086,false
C001→C003,1.865,0.012518318426616368,true
C003→C001,1.865,0.002518318426616359,false
C002→C003,2.18,-0.028294132027652658,false
C003→C002,2.18,-0.023294132027652764,false
C001→C002,1.475,-0.03142875631695561,false
C002→C001,1.475,-0.04042875631695573,true
C001→C003,1.865,-0.0014816815733836447,false
C003→C001,1.865,0.01651831842661637,false
C002→C003,2.18,0.051705867972347413,false
C003→C002,2.18,-0.00929413202765253,false
C001→C002,1.475,0.02457124368304444,true
C002→C001,1.475,0.015571243683044321,false
C003→C001,1.865,0.01651831842661637,false
C002→C003,2.18,0.028705867972347282,false
C003→C002,2.18,-0.03229413202765266,false
C001→C002,1.475,0.010571243683044428,true
C002→C001,1.475,0.006571243683044424,false
C003→C001,1.865,-0.0014816815733836447,false
C002→C003,2.18,-0.037294132027652555,false
C003→C002,2.18,-0.004294132027652636,false
C001→C002,1.475,0.006571243683044424,true
C002→C001,1.475,-0.017428756316955597,false
C003→C001,1.865,0.021518318426616487,false
C002→C003,2.18,-0.13529413202765264,false
C003→C002,2.18,-0.10729413202765262,false
C001→C002,1.475,0.0015712436830443086,true
C002→C001,1.475,0.010571243683044428,false
C003→C001,1.865,-0.011481681573383654,false
C002→C003,2.18,-0.07529413202765259,false
C003→C002,2.18,-0.037294132027652555,false
C001→C002,1.475,0.029571243683044333,true
C002→C001,1.475,-0.003428756316955585,false
C001→C003,1.865,-0.011481681573383654,false
C003→C001,1.865,-0.006481681573383538,false
C002→C003,2.18,-0.060294132027652686,false
